所属年级,来源,具体来源,章节,试卷题号,题目截图,题干文本,所属章节,参考答案,答案文本,参考解析,,,,,,,,,
高中,高考题,2023天津,,10,,"10. ( 5 分) 已知 $i$ 是虚数单位, 化简 $\frac{5+14 i}{2+3 i}$ 的结果为
",复数,$4+i$,$4+i$,,,,,,,,,,
高中,高考题,2023北京,,1,,"1. (4 分) 已知集合 $M=\{x \mid x+2 \geq 0\}, N=\{x \mid x-1 \lt 0\}$. 则 $M \cap N=(\quad)$
A. $\{x \mid-2 \leq x \lt 1\}$
B. $\{x \mid-2 \lt x \leq 1\}$
C. $\{x \mid x \geq-2\}$
D. $\{x \mid x \lt 1\}$
",集合,A,A,,,,,,,,,,
高中,高考题,2023北京,,2,,"2. (4分) 在复平面内, 复数 $z$ 对应的点的坐标是 $(-1, \sqrt{3})$, 则 $z$ 的共轭复数 $\bar{z}=(\quad)$
A. $1+\sqrt{3} i$
B. $1-\sqrt{3} i$
C. $-1+\sqrt{3} i$
D. $-1-\sqrt{3} i$",复数,D,D,,,,,,,,,,
高中,高考题,2023北京,,4,,"4. (4分) 下列函数中在区间 $(0,+\infty)$ 上单调递增的是 $($ )
A. $f(x)=-\ln x$
B. $f(x)=\frac{1}{2^{x}}$
C. $f(x)=-\frac{1}{x}$
D. $f(x)=3^{|x-1|}$
",初等函数基本属性,C,C,,,,,,,,,,
高中,高考题,2023上海,,6,,"6. (4 分) 已知复数 $z=1-i$ ( $i$ 为虚数单位), 则 $|1+i z|=$
",复数,$\sqrt{5}$,$\sqrt{5}$,,,,,,,,,,
高中,高考题,2023上海,,13,,"13. (4分) 已知 $P=\{1,2\}, Q=\{2,3\}$, 若 $M=\{x \mid x \in P, x \notin Q\}$, 则 $M=(\quad)$
A. $\{1\}$
B. $\{2\}$
C. $\{3\}$
D. $\{1,2,3\}$",集合,A,A,,,,,,,,,,
高中,高考题,2023乙卷文科,,1,,"1. (5分) $\left|2+i^{2}+2 i^{3}\right|=(\quad)$
A. 1
B. 2
C. $\sqrt{5}$
D. 5
",复数,C,C,,,,,,,,,,
高中,高考题,2023乙卷文科,,2,,"2. (5分 ) 设全集 $U=\{0,1,2,4,6,8\}$, 集合 $M=\{0,4,6\}, N=\{0,1,6\}$, 则 $M \cup \complement_{U} N=(\quad)$
A. $\{0,2,4,6,8\}$
B. $\{0,1,4,6,8\}$
C. $\{1,2,4,6,8\}$
D. $U$",集合,A,A,,,,,,,,,,
高中,高考题,2023甲卷文科,,1,,"1. (5分 ) 设全集 $U=\{1,2,3,4,5\}$, 集合 $M=\{1,4\}, N=\{2,5\}$, 则 $N \cup \complement_{U} M=(\quad)$
A. $\{2,3,5\}$
B. $\{1,3,4\}$
C. $\{1,2,4,5\}$
D. $\{2,3,4,5\}$
",集合,A,A,,,,,,,,,,
高中,高考题,2023甲卷文科,,2,,"2. (5分) $\frac{5\left(1+i^{3}\right)}{(2+i)(2-i)}=(\quad)$
A. -1
B. 1
C. $1-i$
D. $1+i$
",复数,C,C,,,,,,,,,,
高中,高考题,2023甲卷文科,,14,,"14. (5分) 若 $f(x)=(x-1)^{2}+a x+\sin \left(x+\frac{\pi}{2}\right)$ 为偶函数, 则 $a=$
",初等函数基本属性,$2$,$2$,,,,,,,,,,
高中,高考题,2023上海春季,,1,,"1. (4分) 已知集合 $A=\{1,2\}, B=\{1, a\}$, 且 $A=B$, 则 $a=$
",集合,$2$,$2$,,,,,,,,,,
高中,高考题,2023上海春季,,11,,"11. ( 5 分) 已知 $z_{1}, z_{2} \in C$ 且 $z_{1}=i^{\overline{z_{2}}}$ ( $i$ 为虚数单位), 满足 $\left|z_{1}-1\right|=1$, 则 $\left|z_{1}-z_{2}\right|$ 的取值范围为
",复数,,"$[0,2+\sqrt{2}]$.",,,,,,,,,,
高中,高考题,2023上海春季,,13,,"13. (4分) 下列函数是偶函数的是 ( )
A. $y=\sin x$
B. $y=\cos x$
C. $y=x^{3}$
D. $y=2^{x}$
",初等函数基本属性,B,B,,,,,,,,,,
高中,模拟题,2023广东省深圳一模,,1,,"1. (5分) 已知 $i$ 为虚数单位, $(1+i) z=2$, 则 $z=(\quad)$
A. $1+i$
B. $1-i$
C. $-1+i$
D. $-1-i$
",复数,B,B,,,,,,,,,,
高中,模拟题,2023广东省深圳一模,,2,,"2. ( 5 分 ) 满足等式 $\{0,1\} \cup X=\left\{x \in R \mid x^{3}=x\right\}$ 的集合 $X$ 共有（）
A. 1 个
B. 2 个
C. 3 个
D. 4 个
",集合,D,D,,,,,,,,,,
高中,模拟题,2023广东省深圳一模,,3,,"3. (5分) 已知 $f(x)$ 为奇函数, 且 $x \lt 0$ 时, $f(x)=e^{x}$, 则 $f(e)=(\quad)$
A. $e^{e}$
B. $-e^{e}$
C. $e^{-e}$
D. $-e^{-e}$
",初等函数基本属性,D,D,,,,,,,,,,
高中,模拟题,2023年浙江省宁波一模,,1,,"1. (5分) 已知集合 $A=\{x \mid y=\ln (x-1)\}, B=\left\{x \mid x^{2}-x-6 \lt 0\right\}$, 则 $A \cap B=(\quad)$
A. $\{x \mid 1 \lt x \lt 2\}$
B. $\{x \mid 1 \lt x \lt 3\}$
C. $\{x \mid x \gt -2\}$
D. $\{x \mid x \gt 1\}$
",集合,B,B,,,,,,,,,,
高中,模拟题,2023年浙江省宁波一模,,3,,"3. (5 分) 若 $\frac{a+i}{1+i}=-1+2 i(a \in R, i$ 为虚数单位 ), 则 $|a-i|=(\quad)$
A. $2 \sqrt{2}$
B. $\sqrt{10}$
C. $\sqrt{5}$
D. $\sqrt{2}$
",复数,B,B,,,,,,,,,,
高中,模拟题,2023年浙江省宁波一模,,7,,"7. (5分) 若函数 $f(x)=x^{2}+m x+n$ 在区间 $(-1,1)$ 上有两个零点, 则 $n^{2}-m^{2}+2 n+1$ 的取值范围是 ( )
A. $(0,1)$
B. $(1,2)$
C. $(0,4)$
D. $(1,4)$
",初等函数基本属性,A,A,,,,,,,,,,
高中,模拟题,2023年江苏省南京、盐城一模,,1,,"1. (5 分) 设 $M=\left\{x \mid x=\frac{k}{2}, k \in Z\right\}, N=\left\{x \mid x=k+\frac{1}{2}, k \in Z\right\}$, 则 ( )
A. $M \subsetneqq N$
B. $N \subsetneqq M$
C. $M=N$
D. $M \cap N=\varnothing$",集合,B,B,,,,,,,,,,
高中,模拟题,2023年江苏省南京、盐城一模,,2,,"2. (5分) 若 $f(x)=x(x+1)(x+a) \quad(a \in R)$ 为奇函数, 则 $a$ 的值为 $(\quad)$
A. -1
B. 0
C. 1
D. -1 或 1
",初等函数基本属性,A,A,,,,,,,,,,
高中,模拟题,2023年江苏省南京、盐城一模,,10,,"10. (5分) 已知 $z$ 为复数, 设 $z, \bar{z}, i z$ 在复平面上对应的点分别为 $A, B, C$, 其中 $O$ 为坐标原点, 则 ()
A. $|\overrightarrow{O A}|=|\overrightarrow{O B}|$
B. $\overrightarrow{O A} \perp \overrightarrow{O C}$
C. $|\overrightarrow{A C}|=|\overrightarrow{B C}|$
D. $\overrightarrow{O B} / / \overrightarrow{A C}$
",复数,AB,AB,,,,,,,,,,
高中,模拟题,2023年北京市海淀区一模,,1,,"1. (4 分) 已知集合 $A=\{x \mid 1 \lt x \lt 3\}, B=\{0,1,2\}$, 则 $A \cap B=(\quad)$
A. $\{2\}$
B. $\{0,1\}$
C. $\{1,2\}$
D. $\{0,1,2\}$",集合,A,A,,,,,,,,,,
高中,模拟题,2023年北京市海淀区一模,,2,,"2. (4 分) 若 $a+2 i=i(b+i) \quad(a, b \in R)$, 其中 $i$ 是虚数单位, 则 $a+b=(\quad)$
A. -1
B. 1
C. -3
D. 3",复数,B,B,,,,,,,,,,
高中,教材题,人教B版必修一,第一章复习题A组,2,,"2. 用列举法写出下列集合:
(1) $A=\{x \in N || x-1 \mid=3\}$;
(2) $A=\left\{x \in N \mid \frac{1}{x} \geqslant 1\right\}$.",集合,"A={4},A={1}","A={4},A={1}",,,,,,,,,,
高中,教材题,人教B版必修一,第一章复习题A组,3,,"3. 若集合 $A=\{0,1,2,4\}, B=\{1,2,3\}$, 求 $A \cap B$.",集合,"{1,2}","{1,2}",,,,,,,,,,
高中,教材题,人教B版必修一,第一章复习题A组,4,,"4. 已知区间 $M=(-1,3), N=(-2,1)$, 求 $M \cup N, \complement_{ R } M$.",集合,,"$ \begin{array}{l}M \cup N=(-2,3) \\ \complement_{R} M=(-\infty,-1] \cup[3,+\infty)\end{array} $",,,,,,,,,,
高中,教材题,人教B版必修一,第一章复习题A组,5,,"5. 设集合 $A=\{1,2\}, B=\{1,2,3\}, C=\{2,3,4\}$, 求 $(A \cap B) \cup C$.",集合,"{1,2,3,4}","{1,2,3,4}",,,,,,,,,,
高中,教材题,人教B版必修一,第一章复习题A组,6,,"6. 若 $\{1,2\} \subseteq A \subseteq\{1,2,3,4\}$, 求满足条件的集合 $A$ 的个数.",集合,4,4,,,,,,,,,,
高中,教材题,人教B版必修一,第一章复习题B组,1,,1. 用列举法写出集合 $A=\{x \in N || x-1|+| x-2 \mid=7\}$.,集合,,$A=\{5\}$.,,,,,,,,,,
高中,教材题,人教B版必修一,第一章复习题B组,2,,"2. 已知集合 $A=\left\{x \mid x^{2}-2 x=0\right\}, B=\{0,1,2\}$, 求 $A \cap B$.",集合,,"$ \{0,2\} $.",,,,,,,,,,
高中,教材题,人教B版必修一,第一章复习题B组,5,,"5. 已知全集 $U=\{1,2,3,4,5,6\}$, 集合 $P=\{1,3,5\}, Q=\{1,2,4\}$,求 $\left(\complement_{U} P\right) \cup Q$.",集合,,"$\{1,2,4,6\}$",,,,,,,,,,
高中,教材题,人教B版必修一,第一章复习题B组,6,,"6. 设集合 $A=\{1,2\}$, 写出所有满足 $A \cup B=\{1,2,3\}$ 的集合 $B$.",集合,,"6. $B=\{3\},\{1,3\},\{2,3\},\{1,2,3\} 。$",,,,,,,,,,
高中,教材题,人教B版必修一,第一章复习题B组,8,,"8. 已知集合 $A=[-2,2], B=\{x \mid x \geqslant a\}$, 且 $A \varsubsetneqq B$, 求 $a$ 的取值范围.",集合,,$a \leqslant-2$,,,,,,,,,,
高中,教材题,人教B版必修一,第一章复习题C组,2,,"2. 已知集合 $A=\left\{(x, y) \mid x^{2}+y^{2} \leqslant 1, x, y \in Z \right\}, B=\{(x, y)|| x \mid \leqslant 2$, $|y| \leqslant 2, x, y \in Z \}$, 定义集合
$A \oplus B=\left\{\left(x_{1}+x_{2}, y_{1}+y_{2}\right) \mid\left(x_{1}, y_{1}\right) \in A,\left(x_{2}, y_{2}\right) \in B\right\},$

求 $A \oplus B$ 中元素的个数.",集合,45,45,,,,,,,,,,
高中,教材题,人教B版必修一,第一章复习题C组,3,,"3. 若 $\{1, \sqrt{a}\} \subseteq\left\{1,2,4, a^{2}\right\}$, 求 $a$ 的值.",集合,,"$a$ 的值为 $4,16,0$.",,,,,,,,,,
高中,教材题,人教B版必修一,第一章复习题C组,4,,"4. 若 $\{0,-1,2 a\}=\{a-1,-|a|, a+1\}$, 求 $a$ 的值.",集合,,$a=1$ 或- 1,,,,,,,,,,
高中,教材题,人教B版必修一,第三章复习题A组,1,,"1. 已知 $f(x)=3 x^{2}+x, x \in Z$, 且 $f(t)=2$, 求 $t$ 的值.",初等函数基本属性,,$t=-1$.,,,,,,,,,,
高中,教材题,人教B版必修一,第三章复习题A组,4,,"4. 已知奇函数 $f(x)$ 在区问 $[3,6]$ 上是增函数, 且在区间 $[3,6]$ 上的最大值为 8 , 最小值为 -1 , 求 $2 f(-6)+f(-3)$ 的值.",初等函数基本属性,,$-15$,,,,,,,,,,
高中,教材题,人教B版必修一,第三章复习题A组,6,,"6. 已知 $f(x)$ 是区间 $(-\infty,+\infty)$ 上的奇函数, $f(1)=-2, f(3)=1$, 比较 $f(-3)$ 与 $f(-1)$ 的大小.",初等函数基本属性,,$f(-3) \lt f(-1)$,,,,,,,,,,
高中,教材题,人教B版必修一,第三章复习题A组,8,,"8. 如果二次函数 $y=a x^{2}+b x$ 的图象的对称轴是 $x=1$, 并且通过点 $A(-1,7)$,求 $a, b$ 的值.",初等函数基本属性,,"即 $a, b$ 的值分别为 $\frac{7}{3},-\frac{14}{3}$.",,,,,,,,,,
高中,教材题,人教B版必修一,第三章复习题A组,9,,"9. 已知 $f(x)=\frac{1+x^{2}}{1-x^{2}}$, 求证：
(1) $f(x)$ 是偶函数;
(2) $f\left(\frac{1}{x}\right)=-f(x)$.",初等函数基本属性,详见解析,证明题，答案详见解析,,,,,,,,,,
高中,教材题,人教B版必修一,第三章复习题A组,10,,"10. 求证: 函数 $f(x)=\frac{2 x-5}{x^{2}+1}$ 在区间 $(2,3)$ 上至少有一个零点.",初等函数基本属性,详见解析,证明题，答案详见解析,,,,,,,,,,
高中,教材题,人教B版必修一,第三章复习题B组,3,,"3. 已知函数 $y=f(x)$ 是 $R$ 上的增函数, $y=g(x)$ 是 $R$ 上的减函数, 求证: $f(x)-g(x)$ 在 $R$ 上是增函数.",初等函数基本属性,详见解析,证明题，答案详见解析,,,,,,,,,,
高中,教材题,人教B版必修一,第三章复习题B组,5,,"5. 已知 $f(x)$ 是定义域为 $R$ 的奇函数, 且 $x \geqslant 0$ 时, $f(x)=x^{2}+2 x$, 求 $x \lt 0$时 $f(x)$ 的解析式.",初等函数基本属性,,$f(x)=-x^{2}+2 x(x \lt 0)$.,,,,,,,,,,
高中,教材题,人教B版必修一,第三章复习题B组,9,,"9. 已知偶函数 $f(x)$ 在 $[0,+\infty)$ 上单调递减, 且 2 是它的一个零点, 求不等式 $f(x-1) \gt 0$ 的解集.",初等函数基本属性,,$\{x \mid-1 \lt x \lt 3\}$.,,,,,,,,,,
高中,教材题,人教B版必修一,第三章复习题B组,11,,11. 求证: 函数 $f(x)=x+\frac{1}{x}-4$ 有且只有两个零点.,初等函数基本属性,详见解析,证明题，答案详见解析,,,,,,,,,,
高中,教材题,人教B版必修一,第三章复习题C组,2,,"2. (1) 已知函数 $f(x)$ 的定义域为 $(1,2]$, 值域为 $[-5,+\infty)$, 设 $g(x)=$ $f(2 x-1)$, 求 $g(x)$ 的定义域和值域;
(2) 已知 $g(x)=f(2 x-1)+1$, 且 $g(x)$ 的定义域为 $(1,2]$, 值域为 $[-5$, $+\infty)$, 求函数 $f(x)$ 的定义域和值域.",初等函数基本属性,,"【答案】 (1) $g(x)$ 的定义域为 $\left(1, \frac{3}{2}\right]$ ，值域为 $[-5,+\infty)$ （2） $f(x)$ 的定义域为 $(1,3] ，$ 值域为 $[-6,+\infty)$.",,,,,,,,,,
高中,教材题,人教B版必修一,第三章复习题C组,3,,"3. 如果关于 $x$ 的方程 $7 x^{2}-(a+13) x+a^{2}-a-2=0$ 的两根分别在区间 $(0,1)$和 $(1,2)$ 内, 求实数 $a$ 的取值范围.",初等函数基本属性,,"则实数 $a$ 的取值范围为 $(-2,-1) \cup(3,4)$.",,,,,,,,,,
高中,教材题,人教B版必修四,第十章复习题A组,1,,"2. 求下列各式的值.
(1) $(7+5 i )+(4+3 i )$;
(2) $(8-5 i )-(4-3 i )$;
(3) $(2-5 i )(4+3 i )$;
(4) $2 i \div(1- i )$.",复数,,(1) $11+8 i$; (2) $4-2 i$; (3) $23-14 i$; (4) $-1+i$.,,,,,,,,,,
高中,教材题,人教B版必修四,第十章复习题A组,4,,"4. 已知实数 $x, y$ 满足 $(1+ i ) x=1+y i$, 求 $|x+y i |$.",复数,,"$\sqrt{2}$,",,,,,,,,,,
高中,教材题,人教B版必修四,第十章复习题A组,6,,6. 计算 $4\left(\cos \frac{4 \pi}{3}+i \sin \frac{4 \pi}{3}\right) \div\left[2\left(\cos \frac{5 \pi}{6}+i \sin \frac{5 \pi}{6}\right)\right]$.,复数,,$2 i$,,,,,,,,,,
高中,教材题,人教B版必修四,第十章复习题A组,8,,"8. 把复数 $3-\sqrt{3} i$ 对应的向量绕原点沿顺时针方向旋转 $60^{\circ}$, 求所得向量对应的复数.",复数,,$-2 \sqrt{3} i$,,,,,,,,,,
高中,教材题,人教B版必修四,第十章复习题A组,10,,"10. 当 $a \gt 0$ 时, 用 $\sqrt{-a}$ 表示平方为 $-a$ 且虚部为正的复数. 在这样的约定下,数学家欧拉曾经认为
$\sqrt{-1} \times \sqrt{-4}=2 .$

这个结果对吗? 为什么?",复数,不对,不对,,,,,,,,,,
高中,教材题,人教B版必修四,第十章复习题B组,1,,"1. 设复数 $z$ 满足 $\frac{1+z}{1-z}= i$, 求 $|z|$.",复数,1,1,,,,,,,,,,
高中,教材题,人教B版必修四,第十章复习题B组,3,,"3. 已知复数 $z$ 满足 $3 z+\bar{z}=1+ i$, 其中 $i$ 为虚数单位, 求 $|z|$.",复数,,$\frac{\sqrt{5}}{4}$.,,,,,,,,,,
高中,教材题,人教B版必修四,第十章复习题B组,5,,"5. 已知 $z_{1}=2, z_{2}=2 i ,|z|=2 \sqrt{2}$ 且 $\left|z-z_{1}\right|=\left|z-z_{2}\right|$, 求 $z$.",复数,,$2+2 i$ 或 $-2-2 i$.,,,,,,,,,,
高中,教材题,人教B版必修四,第十章复习题B组,7,,"7. 已知 $z+\frac{4}{z}$ 为实数, 且 $|z-2|=2$, 求 $z$ 的值.",复数,,"$4,1+\sqrt{3} i$ 或 $1-\sqrt{3} i$.",,,,,,,,,,
高中,教材题,人教B版必修四,第十章复习题B组,11,,"11. 若 $1+\sqrt{2} i$ 是关于 $x$ 的实系数方程 $x^{2}+b x+c=0$ 的一个根, 求 $b, c$ 的值.",复数,,"$\left\{b=-2,  c=3 .\right.$",,,,,,,,,,
高中,教材题,人教B版必修四,第十章复习题B组,13,,"13. 设 $z$ 是模为 1 的复数, 求 $z^{2}+\frac{1}{z^{2}}$ 的最小值.",复数,,$-2$,,,,,,,,,,
高中,教材题,人教B版必修四,第十章复习题C组,2,,"2. 已知复数 $z_{1}, z_{2}, z_{1}+z_{2}$ 在复平面上对应的点分别为 $A, B, C$, 且 $O$ 为复平面的坐标原点.
(1) 若 $z_{1}=\frac{\sqrt{3}}{2}+\frac{1}{2} i$, 向量 $\overrightarrow{O A}$ 绕原点逆时针旋转 $90^{\circ}$ 且模变为原来的 2 倍后与向量 $\overrightarrow{O C}$ 重合, 求 $z_{2}$ 的值.
(2) 若 $z_{1}-z_{2}=2 i \left(z_{1}+z_{2}\right)$, 试判断四边形 $O A C B$ 的形状.",复数,$z_2=-1-\frac{\sqrt{3}}{2}+(\sqrt{3}-\frac{1}{2})i$，菱形,$z_2=-1-\frac{\sqrt{3}}{2}+(\sqrt{3}-\frac{1}{2})i$，菱形,,,,,,,,,,
高中,教辅题,人教B版必修一学探诊,第一章第1节,2,,"2. 下列结论正确的是
(A) $0 \notin N$
(B) 集合 $A=\left\{x \in N ^{*} \mid x^{2}-x=0\right\}$ 与集合 $B=\left\{x \in Z \mid x^{2}-x=0\right\}$ 相等
(C) 所有偶数的集合可表示为 $C=\{x \mid x=2 k, k \in N \}$
(D) 被 3 除余 1 的整数集合可表示为 $M=\{x \mid x=3 k+1, k \in Z \}$",集合,D,D,,,,,,,,,,
高中,教辅题,人教B版必修一学探诊,第一章第1节,3,,"3. 设集合 $P=\{(x, y) \mid y \lt 2 x+1, x \in R , y \in R \}$, 则属于集合 $P$ 的元素可以是
(A) $(-1,-1)$
(B) $(1,4)$
(C) $(0,0)$
(D) $(-2,3)$",集合,C,C,,,,,,,,,,
高中,教辅题,人教B版必修一学探诊,第一章第1节,7,,7. 集合 $\{x \in N || x-1 \mid \lt 3\}$ 用列举法表示为,集合,,"7. $\{0,1,2,3\}$",,,,,,,,,,
高中,教辅题,人教B版必修一学探诊,第一章第1节,10,,"10. 集合 $\left\{\frac{1}{2}, \frac{2}{3}, \frac{3}{4}, \frac{4}{5}, \frac{5}{6}, \frac{6}{7}\right\}$ 用描述法表示为",集合,,"10. $\left\{x \mid x=\frac{n}{n+1}, n \in N ^{*}, n \leqslant 6\right\}$",,,,,,,,,,
高中,教辅题,人教B版必修一学探诊,第一章第1节,11,,"11. 用列举法表示下列集合:
(1) $A=\{x \in Z \mid-2 \leqslant x \lt 6\}$;
(2) $B=\{y \mid y=-x+4, x \in N , y \in N \}$;
(3) $C=\left\{x \in N \mid \frac{9}{9-x} \in N \right\}$.",集合,,"11. (1) $A=\{-2,-1,0,1,2,3,4,5\}$
(2) $B=\{4,3,2,1,0\}$
(3) $C=\{0,6,8\}$",,,,,,,,,,
高中,教辅题,人教B版必修一学探诊,第一章第1节,13,,"13. 设集合 $A=\left\{x \mid x^{2}-x=0\right\}$, 集合 $B=\left\{x \mid x=\frac{1}{2}\left[1+(-1)^{n}\right], n \in Z \right\}$, 试问这两个集合是否相等, 并加以证明.",集合,相等,相等,,,,,,,,,,
高中,教辅题,人教B版必修一学探诊,第一章第2节,1,,"1. 设集合 $A=\{-1,0,1,2\}, B=\left\{x \mid x^{2} \gt x\right\}$, 则集合 $A \cap B=$
(A) $\{-1,0,1\}$
(B) $\{-1,2\}$
(C) $\{0,1,2\}$
(D) $\{-1,1,2\}$",集合,B,B,,,,,,,,,,
高中,教辅题,人教B版必修一学探诊,第一章第2节,5,,"5. 若集合 $A=\{0,1\}, B=\{x \mid x \in A\}$, 则集合 $A$ 与 $B$ 之间的关系是
(A) $A \varsubsetneqq B$
(B) $A=B$
(C) $B \subseteq A$
(D) $A \in B$",集合,B,B,,,,,,,,,,
高中,教辅题,人教B版必修一学探诊,第一章第2节,6,,"6. 用适当的符号填空:
(1) $m$ $\{m, n\} ;$
(2) $\{m\}$ $\{m, n\} ;$
(3) $\varnothing$ $\{m, n\}$.",集合,,6. (1) $\in ;(2) \varsubsetneqq ;(3) \varsubsetneqq$,,,,,,,,,,
高中,教辅题,人教B版必修一学探诊,第一章第2节,8,,"8. 已知全集 $S=\{x \mid-1 \lt x \lt 4\}, A=\{x \mid 0 \leqslant x \lt 2\}$, 则 $\complement_{S} A=$",集合,,8. $\{x \mid-1 \lt x \lt 0$ 或 $2 \leqslant x \lt 4\}$,,,,,,,,,,
高中,教辅题,人教B版必修一学探诊,第一章第2节,11,,"11. 设全集 $U= R , A=\{x \mid-5 \lt x \lt 7\}, B=\left\{x \mid x \gt 8\right.$ 或 $\left.x \lt \frac{1}{2}\right\}$.
(1) 求 $A \cap B$;
(2)求 $\left(\complement_{U} A\right) \cup B$.",集合,,"11. (1) $A \cap B=\left\{x \mid-5 \lt x \lt \frac{1}{2}\right\}$.
(2) $\because \complement_{U} A=\{x \mid x \leqslant-5$ 或 $x \geqslant 7\}, \therefore\left(\complement_{U} A\right) \cup B=\left\{x \mid x \geqslant 7\right.$ 或 $\left.x \lt \frac{1}{2}\right\}$.",,,,,,,,,,
高中,教辅题,人教B版必修一学探诊,第一章第2节,12,,"12. 已知集合 $A=\left\{x \mid x^{2}+p x-2=0\right\}, B=\left\{x \mid x^{2}-x+q=0\right\}$, 且 $A \cup B=\{-2,0,1\}$, 求实数 $p, q$的值.",集合,"$p=1,q=0$","$p=1,q=0$",,,,,,,,,,
高中,教辅题,人教B版必修一学探诊,第三章第1节,3,,"3. 设函数 $f(x)=x^{2}-3 x+1$, 则 $f(a)-f(-a)$ 等于
(A) $-6 a$
(B) 0
(C) $2 a^{2}+2$
(D) $2 a^{2}-6 a+2$",初等函数基本属性,A,A,,,,,,,,,,
高中,教辅题,人教B版必修一学探诊,第三章第1节,7,,7. 函数 $f(x)=\frac{\sqrt{x}}{x-1}$ 的定义域是,初等函数基本属性,,"7. $\{x \mid x \geqslant 0$, 且 $x \neq 1\}$",,,,,,,,,,
高中,教辅题,人教B版必修一学探诊,第三章第1节,10,,"10. 为确保信息安全, 信息需加密传输, 发送方由明文 $\rightarrow$ 密文 (加密), 接收方由密文 $\rightarrow$ 明文 (解密). 已知加密规则为: 明文 $a, b, c, d$ 对应密文 $a+2 b, 2 b+c, 2 c+3 d, 4 d$. 例如, 明文 $1,2,3,4$对应密文 $5,7,18,16$. 当接收方收到密文 $14,9,23,28$ 时, 则解密得到的明文为",初等函数基本属性,,"10. $6,4,1,7$",,,,,,,,,,
